celebrity,image,class,confidence,prediction_time
pins_gal-gadot,gal-gadot22_1768,person,tensor([0.9457]),0.9953246116638184
pins_gal-gadot,gal-gadot50_1811,person,tensor([0.9194]),0.2790257930755615
pins_gal-gadot,gal-gadot60_1820,person,tensor([0.9384]),0.2955586910247803
pins_gal-gadot,gal-gadot117_1676,person,tensor([0.9510]),0.2401137351989746
pins_gal-gadot,gal-gadot218_1766,person,tensor([0.9551]),0.26551008224487305
pins_gal-gadot,gal-gadot239_1785,person,tensor([0.9439]),0.2724609375
pins_gal-gadot,gal-gadot8_1836,person,tensor([0.9266]),0.24060606956481934
pins_gal-gadot,gal-gadot161_1717,person,tensor([0.9224]),0.23775744438171387
pins_gal-gadot,gal-gadot47_1808,person,tensor([0.8900]),0.2430734634399414
pins_gal-gadot,gal-gadot47_1808,person,tensor([0.3198]),0.2430734634399414
pins_gal-gadot,gal-gadot103_1663,person,tensor([0.8993]),0.25068187713623047
pins_gal-gadot,gal-gadot67_1825,person,tensor([0.9498]),0.23651695251464844
pins_gal-gadot,gal-gadot123_1680,person,tensor([0.9419]),0.24462080001831055
pins_gal-gadot,gal-gadot118_1677,person,tensor([0.9350]),0.24933886528015137
pins_gal-gadot,gal-gadot46_1807,person,tensor([0.8311]),0.23822999000549316
pins_gal-gadot,gal-gadot114_1674,person,tensor([0.9520]),0.2369852066040039
pins_gal-gadot,gal-gadot45_1806,person,tensor([0.9237]),0.2245182991027832
pins_gal-gadot,gal-gadot193_1743,person,tensor([0.9508]),0.2572174072265625
pins_gal-gadot,gal-gadot166_1720,person,tensor([0.7814]),0.3154788017272949
pins_gal-gadot,gal-gadot240_1788,person,tensor([0.9468]),0.2840902805328369
pins_gal-gadot,gal-gadot58_1818,person,tensor([0.8471]),0.41498565673828125
pins_gal-gadot,gal-gadot3_1798,person,tensor([0.8048]),0.2888031005859375
pins_gal-gadot,gal-gadot3_1798,person,tensor([0.6862]),0.2888031005859375
pins_gal-gadot,gal-gadot248_1794,person,tensor([0.5319]),0.2444782257080078
pins_gal-gadot,gal-gadot109_1669,person,tensor([0.9423]),0.30428051948547363
pins_gal-gadot,gal-gadot102_1662,person,tensor([0.9178]),0.3723781108856201
pins_gal-gadot,gal-gadot222_1770,person,tensor([0.8900]),0.24942231178283691
pins_gal-gadot,gal-gadot64_1822,person,tensor([0.9377]),0.24534940719604492
pins_gal-gadot,gal-gadot66_1824,person,tensor([0.9099]),0.24321961402893066
pins_gal-gadot,gal-gadot107_1667,person,tensor([0.8484]),0.2467195987701416
pins_gal-gadot,gal-gadot154_1709,person,tensor([0.9478]),0.22977900505065918
pins_gal-gadot,gal-gadot89_1844,person,tensor([0.9134]),0.2512643337249756
pins_gal-gadot,gal-gadot20_1749,person,tensor([0.7307]),0.2601795196533203
pins_gal-gadot,gal-gadot20_1749,person,tensor([0.2608]),0.2601795196533203
pins_gal-gadot,gal-gadot53_1814,person,tensor([0.9497]),0.2571403980255127
pins_gal-gadot,gal-gadot71_1830,person,tensor([0.9506]),0.24425911903381348
