celebrity,original_image,yolo_bounding_box,face_extracted,prediction_time
pins_Zac-Efron,Zac-Efron207_1693-,Zac-Efron207_1693-person-nn-bb-0.0-0.3201591968536377-117.60145568847656-138.76295471191406,1,9.364007234573364
pins_Zac-Efron,Zac-Efron102_1600-,Zac-Efron102_1600-person-nn-bb-0.0-0.0-205.94931030273438-221.0,1,4.1740052700042725
pins_Zac-Efron,Zac-Efron194_1677-,Zac-Efron194_1677-person-nn-bb-0.0-0.0-144.16665649414062-153.32530212402344,1,4.200811147689819
pins_Zac-Efron,Zac-Efron202_1690-,Zac-Efron202_1690-person-nn-bb-0.0-0.0-145.0-153.6104736328125,0,4.222359657287598
pins_Zac-Efron,Zac-Efron223_1706-,Zac-Efron223_1706-person-nn-bb-0.0-0.15680193901062012-212.0-223.57168579101562,1,4.183126926422119
pins_Zac-Efron,Zac-Efron181_1671-,Zac-Efron181_1671-person-nn-bb-0.08358154445886612-0.40015870332717896-115.61604309082031-127.00691223144531,1,4.959465503692627
pins_Zac-Efron,Zac-Efron0_1596-,Zac-Efron0_1596-person-nn-bb-1.1776963472366333-8.401443481445312-118.55965423583984-128.98719787597656,0,4.088231086730957
pins_Zac-Efron,Zac-Efron60_1753-,Zac-Efron60_1753-person-nn-bb-0.0-0.0-302.0-320.0,1,4.178498983383179
pins_Zac-Efron,Zac-Efron142_1637-,Zac-Efron142_1637-person-nn-bb-0.4855082035064697-0.0-171.46900939941406-185.0,0,4.358805179595947
pins_Zac-Efron,Zac-Efron143_1638-,Zac-Efron143_1638-person-nn-bb-0.03536377102136612-0.19539490342140198-82.61717224121094-128.0,0,6.150512218475342
pins_Zac-Efron,Zac-Efron158_1650-,Zac-Efron158_1650-person-nn-bb-0.0-0.043271541595458984-95.26464080810547-107.8392562866211,0,5.767788648605347
pins_Zac-Efron,Zac-Efron23_1710-,Zac-Efron23_1710-person-nn-bb-0.9128454327583313-1.6694575548171997-101.74358367919922-107.51860809326172,0,4.958156108856201
pins_Zac-Efron,Zac-Efron201_1689-,Zac-Efron201_1689-person-nn-bb-0.0-0.05024385452270508-144.0572052001953-153.9903106689453,1,4.28165602684021
pins_Zac-Efron,Zac-Efron231_1711-,Zac-Efron231_1711-person-nn-bb-10.743382453918457-0.0-432.7835998535156-463.0,0,4.3437182903289795
pins_Zac-Efron,Zac-Efron180_1670-,Zac-Efron180_1670-person-nn-bb-0.0-0.0-409.833984375-458.6936340332031,0,4.472400665283203
pins_Zac-Efron,Zac-Efron71_1761-,Zac-Efron71_1761-person-nn-bb-0.11455583572387695-0.3975491523742676-174.0-182.11898803710938,0,4.1862499713897705
pins_Zac-Efron,Zac-Efron116_1616-,Zac-Efron116_1616-person-nn-bb-0.0-0.03455543518066406-92.37016296386719-107.7977294921875,0,4.67672872543335
pins_Zac-Efron,Zac-Efron213_1698-,Zac-Efron213_1698-person-nn-bb-0.0-0.0-522.861083984375-549.4376220703125,1,4.191317558288574
pins_Zac-Efron,Zac-Efron89_1777-,Zac-Efron89_1777-person-nn-bb-0.14273767173290253-0.6679921746253967-184.0822296142578-219.22189331054688,0,4.664186000823975
pins_Zac-Efron,Zac-Efron244_1720-,Zac-Efron244_1720-person-nn-bb-0.0-0.46309441328048706-251.0-262.7740173339844,0,4.187320232391357
pins_Zac-Efron,Zac-Efron247_1722-,Zac-Efron247_1722-person-nn-bb-0.0-0.20141984522342682-246.54031372070312-263.721435546875,0,4.326023817062378
pins_Zac-Efron,Zac-Efron137_1631-,Zac-Efron137_1631-person-nn-bb-11.739181518554688-0.8832230567932129-488.3251037597656-553.0460815429688,1,4.628766775131226
pins_Zac-Efron,Zac-Efron199_1685-,Zac-Efron199_1685-person-nn-bb-4.62849235534668-0.0-101.22930145263672-108.0,0,4.509575605392456
